=== ITEM DATABASE DUMP (12/17/2025 11:07:44 PM) ===
Total items: 682

ID:   94 | Type:Bag          | Price:    0 | Weight:  0.5 | Name: 
ID:   95 | Type:Bag          | Price:    0 | Weight:  0.5 | Name: 
ID:  290 | Type:Bag          | Price:   15 | Weight:  0.3 | Name: Makeshift luggage
ID:  289 | Type:Bag          | Price:   50 | Weight:  0.3 | Name: Plastic bag
ID:  291 | Type:Bag          | Price:  130 | Weight:  0.5 | Name: Cloth bag
ID:  292 | Type:Bag          | Price:  300 | Weight:  0.5 | Name: Stylish satchel
ID:  293 | Type:Bag          | Price:  800 | Weight:  1.0 | Name: Canvas backpack
ID:  294 | Type:Bag          | Price: 2000 | Weight:  1.0 | Name: Large backpack
ID:  646 | Type:Bag          | Price: 4000 | Weight:  1.0 | Name: Expedition backpack
ID:  465 | Type:Companion    | Price:  500 | Weight:  0.0 | Name: Mutt
ID:  466 | Type:Companion    | Price:  500 | Weight:  0.0 | Name: Rottweiler
ID:  467 | Type:Companion    | Price:  500 | Weight:  0.0 | Name: German Shepherd
ID:  496 | Type:Companion    | Price:    0 | Weight:  0.0 | Name: Entrusted Dog
ID:  560 | Type:Companion    | Price:    0 | Weight:  0.0 | Name: Colleague
ID:  612 | Type:Companion    | Price:    0 | Weight:  0.0 | Name: Joe
ID:  307 | Type:Consumable   | Price:    2 | Weight:  0.1 | Name: Scrap food
ID:  308 | Type:Consumable   | Price:    4 | Weight:  0.1 | Name: Scrap food (deluxe)
ID:  310 | Type:Consumable   | Price:    2 | Weight:  0.1 | Name: Strained drink
ID:  309 | Type:Consumable   | Price:    2 | Weight:  0.1 | Name: Strained alcohol
ID:  113 | Type:Consumable   | Price:   20 | Weight:  0.1 | Name: Grub
ID:  362 | Type:Consumable   | Price:   30 | Weight:  0.3 | Name: Tasty Grub
ID:  363 | Type:Consumable   | Price:   40 | Weight:  0.3 | Name: Great Grub
ID:  486 | Type:Consumable   | Price:   50 | Weight:  0.3 | Name: Broth
ID:    1 | Type:Consumable   | Price:    3 | Weight:  0.1 | Name: Roll
ID:    2 | Type:Consumable   | Price:   30 | Weight:  0.1 | Name: Loaf of Bread
ID:    3 | Type:Consumable   | Price:   60 | Weight:  0.1 | Name: Hamburger
ID:    6 | Type:Consumable   | Price:   30 | Weight:  0.1 | Name: Ham Sub
ID:  331 | Type:Consumable   | Price:   20 | Weight:  0.3 | Name: Bitten Baquette
ID:  334 | Type:Consumable   | Price:    5 | Weight:  0.1 | Name: Chewing gum
ID:    9 | Type:Consumable   | Price:   20 | Weight:  0.1 | Name: Chocolate Bar
ID:    7 | Type:Consumable   | Price:   10 | Weight:  0.1 | Name: Apple
ID:    8 | Type:Consumable   | Price:   10 | Weight:  0.1 | Name: Lemon
ID:  204 | Type:Consumable   | Price:   10 | Weight:  0.3 | Name: Sliced ham
ID:  205 | Type:Consumable   | Price:   10 | Weight:  0.3 | Name: Spaghetti
